Run_ID,Algorytm,Metoda,n_punktow,OA_bazowa_%,OA_bazowa_CI_dol_%,OA_bazowa_CI_gora_%,OA_metody_%,OA_metody_CI_dol_%,OA_metody_CI_gora_%,Delta_pp,Delta_CI_dol_pp,Delta_CI_gora_pp,CI_wyklucza_zero,F1_makro_bazowa_%,F1_makro_metody_%,Delta_F1_makro_pp
123456_zbledami_L1C_roi,maximum likelihood,Erosion,847,54.7816,51.4157,58.1043,66.2338,62.9820,69.3390,11.4522,8.5816,14.3228,TAK,58.2057,63.2301,5.0245
123456_zbledami_L1C_roi,random forest,OneClassSVM,847,63.4002,60.1024,66.5770,65.4073,62.1408,68.5347,2.0071,-0.2914,4.3055,nie,64.9962,65.9759,0.9798
123456_zbledami_L1C_roi,multi-layer perceptron,SAM,847,80.0472,77.2228,82.6003,87.9575,85.5926,89.9797,7.9103,5.3786,10.4420,TAK,77.6835,83.9591,6.2756
123456_zbledami_L1C_roi,support vector machine,Band_Z-score,847,88.3117,85.9730,90.3044,88.5478,86.2270,90.5206,0.2361,-0.4955,0.9677,nie,83.7370,83.9227,0.1856
123456_zbledami_L1C_roi,spectral angle mapping,IQR,847,88.4298,86.1000,90.4125,89.1381,86.8632,91.0597,0.7084,-0.7905,2.2073,nie,84.9195,85.5642,0.6447
123456_zbledami_L1C_roi,minimum distance,LOF,847,84.2975,81.6931,86.5922,84.4156,81.8181,86.7023,0.1181,-0.5761,0.8122,nie,79.7904,79.9066,0.1162
123456_zbledami_L2A_class,maximum likelihood,Robust_Mahalanobis,847,70.6021,67.4465,73.5717,79.4569,76.6060,82.0419,8.8548,6.0173,11.6922,TAK,67.0568,78.9793,11.9225
123456_zbledami_L2A_class,random forest,IQR,847,80.0472,77.2228,82.6003,84.0614,81.4433,86.3719,4.0142,1.8356,6.1927,TAK,74.1598,78.8616,4.7018
123456_zbledami_L2A_class,multi-layer perceptron,IsolationForest,847,73.9079,70.8473,76.7526,86.0685,83.5732,88.2380,12.1606,9.0347,15.2864,TAK,54.6015,81.8037,27.2022
123456_zbledami_L2A_class,support vector machine,Robust_Mahalanobis,847,89.6104,87.3735,91.4896,90.2007,88.0133,92.0251,0.5903,-0.9956,2.1762,nie,85.8481,87.2756,1.4275
123456_zbledami_L2A_class,spectral angle mapping,IQR,847,83.1169,80.4459,85.4889,84.1795,81.5682,86.4821,1.0626,-0.2648,2.3899,nie,78.1050,79.5089,1.4039
123456_zbledami_L2A_class,minimum distance,PCA,847,83.7072,81.0689,86.0411,85.9504,83.4475,88.1287,2.2432,0.6640,3.8224,TAK,79.0968,81.4021,2.3053
123456_zbledami_L2A_roi,maximum likelihood,IsolationForest,847,70.6021,67.4465,73.5717,70.9563,67.8099,73.9135,0.3542,-0.8026,1.5109,nie,67.0568,67.5494,0.4926
123456_zbledami_L2A_roi,random forest,Mahalanobis,847,79.3388,76.4827,81.9301,83.5891,80.9442,85.9308,4.2503,2.2534,6.2472,TAK,72.5840,78.2839,5.6999
123456_zbledami_L2A_roi,multi-layer perceptron,OneClassSVM,847,63.9906,60.7013,67.1535,84.7698,82.1934,87.0322,20.7792,17.2895,24.2689,TAK,55.3872,80.5061,25.1189
123456_zbledami_L2A_roi,support vector machine,IsolationForest,847,89.6104,87.3735,91.4896,89.3743,87.1182,91.2748,-0.2361,-0.6987,0.2264,nie,85.8481,85.5205,-0.3276
123456_zbledami_L2A_roi,spectral angle mapping,MAD,847,83.1169,80.4459,85.4889,83.8253,81.1937,86.1514,0.7084,-0.8941,2.3109,nie,78.1050,79.4408,1.3358
123456_zbledami_L2A_roi,minimum distance,Erosion,847,83.7072,81.0689,86.0411,84.1795,81.5682,86.4821,0.4723,-0.6126,1.5572,nie,79.0968,80.2516,1.1548
124567_poprawny_L1C_class,maximum likelihood,Robust_Mahalanobis,751,56.1917,52.6207,59.6998,62.8495,59.3364,66.2319,6.6578,3.8631,9.4525,TAK,63.7069,67.7419,4.0350
124567_poprawny_L1C_class,random forest,OneClassSVM,751,45.2730,41.7460,48.8480,45.9387,42.4042,49.5146,0.6658,-0.4092,1.7408,nie,53.9383,55.8578,1.9196
124567_poprawny_L1C_class,multi-layer perceptron,Band_Z-score,751,79.2277,76.1811,81.9768,82.1571,79.2572,84.7297,2.9294,0.8852,4.9737,TAK,76.3446,78.8460,2.5015
124567_poprawny_L1C_class,support vector machine,PCA,751,79.6272,76.5992,82.3536,83.2224,80.3823,85.7243,3.5952,0.6887,6.5017,TAK,78.4486,75.5644,-2.8842
124567_poprawny_L1C_class,spectral angle mapping,PCA,751,77.0972,73.9585,79.9601,82.4234,79.5382,84.9787,5.3262,2.6157,8.0368,TAK,75.3032,75.9070,0.6038
124567_poprawny_L1C_class,minimum distance,PCA,751,76.4314,73.2662,79.3277,81.7577,78.8363,84.3558,5.3262,2.7977,7.8548,TAK,72.9459,74.8058,1.8599
124567_poprawny_L1C_roi,maximum likelihood,OneClassSVM,751,56.1917,52.6207,59.6998,58.0559,54.4944,61.5355,1.8642,0.4410,3.2874,TAK,63.7069,65.2622,1.5552
124567_poprawny_L1C_roi,random forest,Robust_Mahalanobis,751,45.5393,42.0092,49.1147,46.2051,42.6677,49.7810,0.6658,-0.5849,1.9165,nie,54.1862,55.1479,0.9617
124567_poprawny_L1C_roi,multi-layer perceptron,kNN,751,78.8282,75.7635,81.5995,80.2929,77.2969,82.9807,1.4647,-0.3961,3.3255,nie,74.8804,76.4579,1.5776
124567_poprawny_L1C_roi,support vector machine,PCA_Reconstruction,751,79.6272,76.5992,82.3536,80.4261,77.4366,83.1060,0.7989,0.1622,1.4356,TAK,78.4486,78.9737,0.5251
124567_poprawny_L1C_roi,spectral angle mapping,IQR,751,77.0972,73.9585,79.9601,77.7630,74.6518,80.5916,0.6658,-0.4708,1.8024,nie,75.3032,75.6229,0.3196
124567_poprawny_L1C_roi,minimum distance,IQR,751,76.4314,73.2662,79.3277,76.9640,73.8199,79.8337,0.5326,-0.1055,1.1708,nie,72.9459,73.3807,0.4348
