Wariant,Stan,Raster,Zakres,Algorytm,OA_bazowe_%,Kappa_bazowe,Najlepsza_metoda,Delta_OA_pp,Istotne_lok
13456,zbledami,L2A,roi,multi-layer perceptron,81.7001,0.7479,MAD,+6.6116,TAK
13456,zbledami,L2A,roi,support vector machine,91.8536,0.8830,LOF,+0.0000,nie
13456,zbledami,L2A,roi,spectral angle mapping,86.5407,0.8054,MAD,+1.0626,nie
13456,zbledami,L2A,roi,minimum distance,86.6588,0.8046,Erosion,+0.1181,nie
13456,zbledami,L2A,class,maximum likelihood,79.4569,0.7243,HotellingT2,+3.6600,TAK
13456,zbledami,L2A,class,random forest,86.3046,0.8077,IQR,+3.5419,TAK
13456,zbledami,L2A,class,multi-layer perceptron,81.7001,0.7479,HotellingT2,+8.2645,TAK
13456,zbledami,L2A,class,support vector machine,91.8536,0.8830,IQR,+2.0071,TAK
13456,zbledami,L2A,class,spectral angle mapping,86.5407,0.8054,IQR,+1.7710,TAK
13456,zbledami,L2A,class,minimum distance,86.6588,0.8046,Band Z-score,+0.9445,TAK
134567,poprawny,L1C,roi,maximum likelihood,59.7403,0.5264,OneClassSVM,+0.7084,nie
134567,poprawny,L1C,roi,random forest,51.7119,0.4168,PCA Mahalanobis,+0.7084,nie
134567,poprawny,L1C,roi,multi-layer perceptron,74.3802,0.6780,Band Z-score,+5.6671,TAK
134567,poprawny,L1C,roi,support vector machine,82.7627,0.7802,IsolationForest,+0.1181,nie
134567,poprawny,L1C,roi,spectral angle mapping,80.2834,0.7500,MAD,+0.7084,nie
134567,poprawny,L1C,roi,minimum distance,79.4569,0.7355,IQR,+0.2361,nie
134567,poprawny,L1C,class,maximum likelihood,59.7403,0.5264,PCA Mahalanobis,+10.2715,TAK
134567,poprawny,L1C,class,random forest,50.6494,0.4037,Robust Mahalanobis,+24.0850,TAK
134567,poprawny,L1C,class,multi-layer perceptron,76.5053,0.7027,Band Z-score,+2.0071,nie
134567,poprawny,L1C,class,support vector machine,82.7627,0.7802,PCA Mahalanobis,+6.6116,TAK
134567,poprawny,L1C,class,spectral angle mapping,80.2834,0.7500,PCA Mahalanobis,+8.0283,TAK
134567,poprawny,L1C,class,minimum distance,79.4569,0.7355,PCA Mahalanobis,+7.4380,TAK
134567,zbledami,L1C,roi,maximum likelihood,54.4274,0.4677,Erosion,+1.6529,nie
134567,zbledami,L1C,roi,random forest,47.2255,0.3827,MAD,+7.0838,TAK
134567,zbledami,L1C,roi,multi-layer perceptron,68.5950,0.6164,PCA Reconstruction,+13.9315,TAK
134567,zbledami,L1C,roi,support vector machine,84.8878,0.8068,Erosion,+1.2987,nie
134567,zbledami,L1C,roi,spectral angle mapping,84.7698,0.8062,PCA Reconstruction,-0.5903,nie
134567,zbledami,L1C,roi,minimum distance,81.9362,0.7672,LOF,-0.1181,nie
134567,zbledami,L1C,class,maximum likelihood,54.4274,0.4677,Robust Mahalanobis,+6.0213,TAK
134567,zbledami,L1C,class,random forest,47.8158,0.3892,MAD,+14.5218,TAK
134567,zbledami,L1C,class,multi-layer perceptron,68.5950,0.6164,IQR,+14.7580,TAK
134567,zbledami,L1C,class,support vector machine,84.8878,0.8068,IQR,+3.4238,TAK
134567,zbledami,L1C,class,spectral angle mapping,84.7698,0.8062,MAD,+0.2361,nie
134567,zbledami,L1C,class,minimum distance,81.9362,0.7672,IQR,+4.1322,TAK
134567,poprawny,L2A,roi,maximum likelihood,64.2267,0.5704,PCA Mahalanobis,+4.6045,TAK
134567,poprawny,L2A,roi,random forest,71.0744,0.6371,MAD,+3.3058,TAK
134567,poprawny,L2A,roi,multi-layer perceptron,70.2479,0.6244,Percentile,+4.8406,TAK
134567,poprawny,L2A,roi,support vector machine,77.9221,0.7210,PCA Mahalanobis,+1.2987,nie
134567,poprawny,L2A,roi,spectral angle mapping,76.7414,0.7072,IQR,+0.8264,nie
134567,poprawny,L2A,roi,minimum distance,76.8595,0.7033,PCA Mahalanobis,+0.5903,nie
134567,poprawny,L2A,class,maximum likelihood,64.2267,0.5704,Percentile,+3.6600,TAK
134567,poprawny,L2A,class,random forest,67.1783,0.5919,PCA Mahalanobis,+8.2645,TAK
134567,poprawny,L2A,class,multi-layer perceptron,71.1924,0.6320,Percentile,+4.0142,TAK
134567,poprawny,L2A,class,support vector machine,77.9221,0.7210,IQR,+4.4864,TAK
134567,poprawny,L2A,class,spectral angle mapping,76.7414,0.7072,Robust Mahalanobis,+4.4864,TAK
134567,poprawny,L2A,class,minimum distance,76.8595,0.7033,PCA Mahalanobis,+3.4238,TAK
134567,zbledami,L2A,roi,maximum likelihood,71.3105,0.6443,OneClassSVM,+1.7710,nie
