Run_ID,Algorytm,Metoda,DA_bazowa_%,DA_metody_%,Delta_DA_pp,b,c,p,p_Holm_rodzina,Rodzina_n,Istotne_005
124567_poprawny_L2A_class,spectral angle mapping,Robust_Mahalanobis,71.7710,76.8309,5.0599,16,54,0.0000,0.0009,102,TAK
124567_poprawny_L2A_class,minimum distance,Robust_Mahalanobis,73.6352,81.8908,8.2557,20,82,0.0000,0.0000,102,TAK
124567_poprawny_L2A_roi,maximum likelihood,PCA,58.4554,59.9201,1.4647,56,67,0.3672,1.0000,102,nie
124567_poprawny_L2A_roi,random forest,OneClassSVM,73.5020,74.4341,0.9321,26,33,0.4347,1.0000,102,nie
124567_poprawny_L2A_roi,multi-layer perceptron,PCA_Reconstruction,64.4474,73.9015,9.4541,23,94,0.0000,0.0000,102,TAK
124567_poprawny_L2A_roi,support vector machine,IQR,75.2330,76.1651,0.9321,9,16,0.2301,1.0000,102,nie
124567_poprawny_L2A_roi,spectral angle mapping,Erosion,71.7710,72.4368,0.6658,4,9,0.2668,1.0000,102,nie
124567_poprawny_L2A_roi,minimum distance,Robust_Mahalanobis,73.6352,74.1678,0.5326,1,5,0.2188,1.0000,102,nie
124567_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,44.3409,54.8602,10.5193,43,122,0.0000,0.0000,102,TAK
124567_zbledami_L1C_class,random forest,MAD,39.5473,58.1891,18.6418,20,160,0.0000,0.0000,102,TAK
124567_zbledami_L1C_class,multi-layer perceptron,MAD,80.1598,78.9614,-1.1984,34,25,0.2976,1.0000,102,nie
124567_zbledami_L1C_class,support vector machine,IQR,82.8229,85.3529,2.5300,10,29,0.0039,0.2724,102,nie
124567_zbledami_L1C_class,spectral angle mapping,MAD,81.7577,81.8908,0.1332,10,11,1.0000,1.0000,102,nie
124567_zbledami_L1C_class,minimum distance,IQR,80.1598,82.0240,1.8642,18,32,0.0660,1.0000,102,nie
124567_zbledami_L1C_roi,maximum likelihood,SAM,44.3409,45.9387,1.5979,5,17,0.0169,1.0000,102,nie
124567_zbledami_L1C_roi,random forest,Mahalanobis,39.9467,45.5393,5.5925,9,51,0.0000,0.0000,102,TAK
124567_zbledami_L1C_roi,multi-layer perceptron,IQR,76.0320,82.1571,6.1252,24,70,0.0000,0.0003,102,TAK
124567_zbledami_L1C_roi,support vector machine,IQR,82.8229,83.7550,0.9321,24,31,0.4185,1.0000,102,nie
124567_zbledami_L1C_roi,spectral angle mapping,PCA_Reconstruction,81.7577,81.2250,-0.5326,6,2,0.2891,1.0000,102,nie
124567_zbledami_L1C_roi,minimum distance,LOF,80.1598,80.2929,0.1332,3,4,1.0000,1.0000,102,nie
124567_zbledami_L2A_class,maximum likelihood,Percentile,60.4527,64.8469,4.3941,15,48,0.0001,0.0052,102,TAK
124567_zbledami_L2A_class,random forest,IQR,77.0972,79.2277,2.1305,48,64,0.1564,1.0000,102,nie
124567_zbledami_L2A_class,multi-layer perceptron,EllipticEnvelope,67.2437,79.2277,11.9840,26,116,0.0000,0.0000,102,TAK
124567_zbledami_L2A_class,support vector machine,Percentile,82.4234,83.8881,1.4647,11,22,0.0817,1.0000,102,nie
124567_zbledami_L2A_class,spectral angle mapping,IQR,74.7004,75.7656,1.0652,13,21,0.2299,1.0000,102,nie
124567_zbledami_L2A_class,minimum distance,PCA,77.6298,79.2277,1.5979,13,25,0.0744,1.0000,102,nie
124567_zbledami_L2A_roi,maximum likelihood,IsolationForest,60.4527,63.3822,2.9294,7,29,0.0005,0.0414,102,TAK
124567_zbledami_L2A_roi,random forest,Percentile,75.3662,81.2250,5.8589,14,58,0.0000,0.0000,102,TAK
124567_zbledami_L2A_roi,multi-layer perceptron,Erosion,71.6378,75.3662,3.7284,36,64,0.0069,0.5547,102,nie
124567_zbledami_L2A_roi,support vector machine,IQR,82.4234,83.0892,0.6658,30,35,0.6198,1.0000,102,nie
124567_zbledami_L2A_roi,spectral angle mapping,Mahalanobis,74.7004,74.3009,-0.3995,16,13,0.7103,1.0000,102,nie
124567_zbledami_L2A_roi,minimum distance,GMM,77.6298,77.6298,0.0000,1,1,1.0000,1.0000,102,nie
12456_poprawny_L1C_class,maximum likelihood,Robust_Mahalanobis,74.0346,79.8935,5.8589,42,86,0.0001,0.0121,102,TAK
12456_poprawny_L1C_class,random forest,MAD,51.5313,76.9640,25.4328,52,243,0.0000,0.0000,102,TAK
12456_poprawny_L1C_class,multi-layer perceptron,EllipticEnvelope,83.4887,87.4834,3.9947,15,45,0.0002,0.0150,102,TAK
12456_poprawny_L1C_class,support vector machine,PCA_Reconstruction,90.5459,90.8123,0.2663,0,2,0.5000,1.0000,102,nie
12456_poprawny_L1C_class,spectral angle mapping,Band_Z-score,87.0839,87.0839,0.0000,2,2,1.0000,1.0000,102,nie
12456_poprawny_L1C_class,minimum distance,MAD,83.8881,85.4860,1.5979,7,19,0.0310,1.0000,102,nie
12456_poprawny_L1C_roi,maximum likelihood,HotellingT2,74.0346,78.6951,4.6605,51,86,0.0037,0.3050,102,nie
12456_poprawny_L1C_roi,random forest,Erosion,51.3981,72.1704,20.7723,6,162,0.0000,0.0000,102,TAK
12456_poprawny_L1C_roi,multi-layer perceptron,kNN,84.1545,86.8176,2.6631,14,34,0.0061,0.4940,102,nie
12456_poprawny_L1C_roi,support vector machine,PCA_Reconstruction,90.5459,90.8123,0.2663,0,2,0.5000,1.0000,102,nie
12456_poprawny_L1C_roi,spectral angle mapping,MAD,87.0839,86.9507,-0.1332,5,4,1.0000,1.0000,102,nie
12456_poprawny_L1C_roi,minimum distance,IQR,83.8881,84.1545,0.2663,2,4,0.6875,1.0000,102,nie
12456_poprawny_L2A_class,maximum likelihood,MAD,74.8336,78.5619,3.7284,14,42,0.0003,0.0287,102,TAK
12456_poprawny_L2A_class,random forest,HotellingT2,81.8908,82.9561,1.0652,4,12,0.0768,1.0000,102,nie
12456_poprawny_L2A_class,multi-layer perceptron,GMM,80.4261,81.4913,1.0652,20,28,0.3123,1.0000,102,nie
12456_poprawny_L2A_class,support vector machine,SAM,86.9507,87.7497,0.7989,1,7,0.0703,1.0000,102,nie
12456_poprawny_L2A_class,spectral angle mapping,PCA,82.8229,84.4208,1.5979,23,35,0.1486,1.0000,102,nie
12456_poprawny_L2A_class,minimum distance,PCA,82.1571,83.0892,0.9321,40,47,0.5201,1.0000,102,nie
12456_poprawny_L2A_roi,maximum likelihood,Robust_Mahalanobis,74.8336,76.2983,1.4647,58,69,0.3749,1.0000,102,nie
12456_poprawny_L2A_roi,random forest,LOF,81.8908,82.9561,1.0652,2,10,0.0386,1.0000,102,nie
12456_poprawny_L2A_roi,multi-layer perceptron,IsolationForest,80.4261,82.5566,2.1305,19,35,0.0412,1.0000,102,nie
12456_poprawny_L2A_roi,support vector machine,HotellingT2,86.9507,87.6165,0.6658,2,7,0.1797,1.0000,102,nie
12456_poprawny_L2A_roi,spectral angle mapping,Erosion,82.8229,83.4887,0.6658,4,9,0.2668,1.0000,102,nie
12456_poprawny_L2A_roi,minimum distance,Robust_Mahalanobis,82.1571,82.6897,0.5326,1,5,0.2188,1.0000,102,nie
12456_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,61.5180,76.2983,14.7803,27,138,0.0000,0.0000,102,TAK
12456_zbledami_L1C_class,random forest,PCA_Reconstruction,63.7816,67.9095,4.1278,12,43,0.0001,0.0050,102,TAK
12456_zbledami_L1C_class,multi-layer perceptron,SAM,85.6192,87.3502,1.7310,11,24,0.0425,1.0000,102,nie
12456_zbledami_L1C_class,support vector machine,PCA,91.0786,92.4101,1.3316,10,20,0.1003,1.0000,102,nie
12456_zbledami_L1C_class,spectral angle mapping,SAM,89.2144,90.0133,0.7989,0,6,0.0312,1.0000,102,nie
12456_zbledami_L1C_class,minimum distance,PCA,85.7523,87.6165,1.8642,19,33,0.0714,1.0000,102,nie
12456_zbledami_L1C_roi,maximum likelihood,Erosion,61.5180,66.9774,5.4594,30,71,0.0001,0.0062,102,TAK
12456_zbledami_L1C_roi,random forest,Erosion,63.5153,66.0453,2.5300,43,62,0.0790,1.0000,102,nie
12456_zbledami_L1C_roi,multi-layer perceptron,LOF,89.2144,88.8149,-0.3995,14,11,0.6892,1.0000,102,nie
12456_zbledami_L1C_roi,support vector machine,HotellingT2,91.0786,92.1438,1.0652,2,10,0.0386,1.0000,102,nie
12456_zbledami_L1C_roi,spectral angle mapping,IQR,89.2144,90.1465,0.9321,14,21,0.3105,1.0000,102,nie
12456_zbledami_L1C_roi,minimum distance,LOF,85.7523,86.0186,0.2663,2,4,0.6875,1.0000,102,nie
12456_zbledami_L2A_class,maximum likelihood,Robust_Mahalanobis,69.7736,78.1625,8.3888,42,105,0.0000,0.0000,102,TAK
12456_zbledami_L2A_class,random forest,PCA_Reconstruction,84.8202,86.8176,1.9973,11,26,0.0214,1.0000,102,nie
12456_zbledami_L2A_class,multi-layer perceptron,Band_Z-score,86.4181,88.8149,2.3968,15,33,0.0141,1.0000,102,nie
12456_zbledami_L2A_class,support vector machine,Mahalanobis,91.6112,93.0759,1.4647,6,17,0.0347,1.0000,102,nie
12456_zbledami_L2A_class,spectral angle mapping,Band_Z-score,84.5539,85.4860,0.9321,9,16,0.2301,1.0000,102,nie
12456_zbledami_L2A_class,minimum distance,PCA,84.9534,86.4181,1.4647,14,25,0.1093,1.0000,102,nie
12456_zbledami_L2A_roi,maximum likelihood,Robust_Mahalanobis,69.7736,77.2304,7.4567,44,100,0.0000,0.0004,102,TAK
12456_zbledami_L2A_roi,random forest,HotellingT2,84.0213,86.9507,2.9294,15,37,0.0036,0.2943,102,nie
12456_zbledami_L2A_roi,multi-layer perceptron,Mahalanobis,77.0972,89.0812,11.9840,32,122,0.0000,0.0000,102,TAK
12456_zbledami_L2A_roi,support vector machine,Band_Z-score,91.6112,92.6764,1.0652,2,10,0.0386,1.0000,102,nie
12456_zbledami_L2A_roi,spectral angle mapping,MAD,84.5539,85.2197,0.6658,18,23,0.5322,1.0000,102,nie
12456_zbledami_L2A_roi,minimum distance,Erosion,84.9534,85.3529,0.3995,6,9,0.6072,1.0000,102,nie
134567_poprawny_L1C_class,maximum likelihood,PCA,59.7403,70.0118,10.2715,18,105,0.0000,0.0000,102,TAK
134567_poprawny_L1C_class,random forest,Robust_Mahalanobis,50.6494,74.7344,24.0850,90,294,0.0000,0.0000,102,TAK
134567_poprawny_L1C_class,multi-layer perceptron,Band_Z-score,76.5053,78.5124,2.0071,50,67,0.1391,1.0000,102,nie
134567_poprawny_L1C_class,support vector machine,PCA,82.7627,89.3743,6.6116,33,89,0.0000,0.0001,102,TAK
134567_poprawny_L1C_class,spectral angle mapping,PCA,80.2834,88.3117,8.0283,6,74,0.0000,0.0000,102,TAK
134567_poprawny_L1C_class,minimum distance,PCA,79.4569,86.8949,7.4380,22,85,0.0000,0.0000,102,TAK
134567_poprawny_L1C_roi,maximum likelihood,OneClassSVM,59.7403,60.4486,0.7084,8,14,0.2863,1.0000,102,nie
134567_poprawny_L1C_roi,random forest,PCA,51.7119,52.4203,0.7084,19,25,0.4510,1.0000,102,nie
134567_poprawny_L1C_roi,multi-layer perceptron,Band_Z-score,74.3802,80.0472,5.6671,28,76,0.0000,0.0004,102,TAK
134567_poprawny_L1C_roi,support vector machine,Band_Z-score,82.7627,82.8808,0.1181,4,5,1.0000,1.0000,102,nie
134567_poprawny_L1C_roi,spectral angle mapping,MAD,80.2834,80.9917,0.7084,3,9,0.1460,1.0000,102,nie
134567_poprawny_L1C_roi,minimum distance,IQR,79.4569,79.6930,0.2361,0,2,0.5000,1.0000,102,nie
134567_poprawny_L2A_class,maximum likelihood,Percentile,64.2267,67.8867,3.6600,4,35,0.0000,0.0001,102,TAK
134567_poprawny_L2A_class,random forest,PCA,67.1783,75.4427,8.2645,45,115,0.0000,0.0000,102,TAK
134567_poprawny_L2A_class,multi-layer perceptron,Percentile,71.1924,75.2066,4.0142,18,52,0.0001,0.0073,102,TAK
134567_poprawny_L2A_class,support vector machine,IQR,77.9221,82.4085,4.4864,5,43,0.0000,0.0000,102,TAK
134567_poprawny_L2A_class,spectral angle mapping,Robust_Mahalanobis,76.7414,81.2279,4.4864,18,56,0.0000,0.0016,102,TAK
134567_poprawny_L2A_class,minimum distance,PCA,76.8595,80.2834,3.4238,15,44,0.0003,0.0238,102,TAK
134567_poprawny_L2A_roi,maximum likelihood,PCA,64.2267,68.8312,4.6045,12,51,0.0000,0.0002,102,TAK
134567_poprawny_L2A_roi,random forest,MAD,71.0744,74.3802,3.3058,34,62,0.0059,0.4686,102,nie
134567_poprawny_L2A_roi,multi-layer perceptron,Percentile,70.2479,75.0885,4.8406,27,68,0.0000,0.0039,102,TAK
134567_poprawny_L2A_roi,support vector machine,PCA,77.9221,79.2208,1.2987,7,18,0.0455,1.0000,102,nie
134567_poprawny_L2A_roi,spectral angle mapping,IQR,76.7414,77.5679,0.8264,3,10,0.0923,1.0000,102,nie
134567_poprawny_L2A_roi,minimum distance,PCA,76.8595,77.4498,0.5903,2,7,0.1797,1.0000,102,nie
134567_zbledami_L1C_class,maximum likelihood,Robust_Mahalanobis,54.4274,60.4486,6.0213,38,89,0.0000,0.0008,102,TAK
134567_zbledami_L1C_class,random forest,MAD,47.8158,62.3377,14.5218,33,156,0.0000,0.0000,102,TAK
